"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Value","Flag Codes","Flags"
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",66.4,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",66,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",61.4,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",60.7,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",55.7,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",49.6,,
"FRA","France","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",51.1,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",139.4,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",169.7,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",112.9,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",114.7,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",127.7,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",113,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",121.4,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",130.3,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",122,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",110.4,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",90,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",100.6,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",95,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",90.2,,
"SRB","Serbia, Republic of","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",66.8,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",159.3,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",160.6,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",175.2,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",180,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",173.5,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",173.1,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",179.7,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",158.8,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",164.1,,
"BLR","Belarus","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",139.1,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",90.7,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",59.7,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",0,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",146.5,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",29,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",57.6,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",0,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",0,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",28.1,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",27.9,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",0,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",55,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",27.3,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",54.2,,
"LIE","Liechtenstein","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",80.7,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",78.9,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",51.8,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",84.8,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",56.7,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",74.3,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",68.4,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",66.9,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",82.5,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",77.2,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",76.2,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",77.1,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",81.8,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",62.7,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",94,,
"MKD","FYROM","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",61.7,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",114,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",108.1,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",105.8,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",101.5,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",97.4,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",94.5,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",91.4,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",88.9,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",80.3,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",73.3,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",69.2,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",66.7,,
"OECD33","OECD (33)","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",65.3,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",82.4,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",75.2,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",70.4,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",74.4,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",69,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",55,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",49.4,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",50.9,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",46.7,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",45.1,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",41.8,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",40.4,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",42.4,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",33.3,,
"CHE","Switzerland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",29.7,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",111.6,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",115.4,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",113.7,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",117.6,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",112.4,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",108.8,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",106.5,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",129.7,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",140.1,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",136.6,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",126.9,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",121.6,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",124.2,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",82.9,,
"MDA","Moldova","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",91.1,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",113.8,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",84.2,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",100.9,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",79.4,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",78.7,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",64,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",102,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",48.1,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",37.8,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",53.4,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",25.2,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",37.6,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",28.1,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",46.3,,
"ISL","Iceland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",12.2,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",,"L","Missing value; data exist but were not collected"
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",,"L","Missing value; data exist but were not collected"
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",,"L","Missing value; data exist but were not collected"
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",118.1,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",112.4,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",99,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",104,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",111.1,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",112.4,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",99.1,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",,"L","Missing value; data exist but were not collected"
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",92.7,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",79,,
"BIH","Bosnia-Herzegovina","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",87.2,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",146,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",143.4,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",161.7,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",119.6,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",124.8,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",125.5,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",151.5,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",146.2,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",98.7,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",74.9,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",59.3,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",76.1,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",65.8,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",61.5,,
"EST","Estonia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",59.4,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",164.5,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",144.7,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",152.4,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2003","2003",147.6,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2004","2004",149.6,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2005","2005",142.6,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2006","2006",137.5,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2007","2007",146.5,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2008","2008",142.6,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2009","2009",119.8,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2010","2010",102.7,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2011","2011",110.1,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2012","2012",94,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2013","2013",88.2,,
"POL","Poland","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2014","2014",84.3,,
"ARM","Armenia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2000","2000",69.6,,
"ARM","Armenia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2001","2001",77.5,,
"ARM","Armenia","T-ACCI-KIL_PER_POP","Fatalities per million inhabitants","2002","2002",77.1,,
