"ï»_LOCATION""",INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,ROADACCID,DEATH,NBR,A,1992,1403,
AUT,ROADACCID,DEATH,NBR,A,1993,1283,
AUT,ROADACCID,DEATH,NBR,A,1994,1338,
AUT,ROADACCID,DEATH,NBR,A,1995,1210,
AUT,ROADACCID,DEATH,NBR,A,1996,1027,
AUT,ROADACCID,DEATH,NBR,A,1997,1105,
AUT,ROADACCID,DEATH,NBR,A,1998,963,
AUT,ROADACCID,DEATH,NBR,A,1999,1079,
AUT,ROADACCID,DEATH,NBR,A,2000,976,
AUT,ROADACCID,DEATH,NBR,A,2001,958,
AUT,ROADACCID,DEATH,NBR,A,2002,956,
AUT,ROADACCID,DEATH,NBR,A,2003,931,
AUT,ROADACCID,DEATH,NBR,A,2004,878,
AUT,ROADACCID,DEATH,NBR,A,2005,768,
AUT,ROADACCID,DEATH,NBR,A,2006,730,
AUT,ROADACCID,DEATH,NBR,A,2007,691,
AUT,ROADACCID,DEATH,NBR,A,2008,679,
AUT,ROADACCID,DEATH,NBR,A,2009,633,
AUT,ROADACCID,DEATH,NBR,A,2010,552,
AUT,ROADACCID,DEATH,NBR,A,2011,523,
AUT,ROADACCID,DEATH,NBR,A,2012,531,B
AUT,ROADACCID,DEATH,NBR,A,2013,455,
AUT,ROADACCID,DEATH,NBR,A,2014,430,
HUN,ROADACCID,DEATH,NBR,A,1970,1707,
HUN,ROADACCID,DEATH,NBR,A,1971,1934,
HUN,ROADACCID,DEATH,NBR,A,1972,1923,
HUN,ROADACCID,DEATH,NBR,A,1973,1831,
HUN,ROADACCID,DEATH,NBR,A,1974,1764,
HUN,ROADACCID,DEATH,NBR,A,1975,1904,
HUN,ROADACCID,DEATH,NBR,A,1976,1622,
HUN,ROADACCID,DEATH,NBR,A,1977,1803,
HUN,ROADACCID,DEATH,NBR,A,1978,2018,
HUN,ROADACCID,DEATH,NBR,A,1979,1750,
HUN,ROADACCID,DEATH,NBR,A,1980,1630,
HUN,ROADACCID,DEATH,NBR,A,1981,1603,
HUN,ROADACCID,DEATH,NBR,A,1982,1548,
HUN,ROADACCID,DEATH,NBR,A,1983,1591,
HUN,ROADACCID,DEATH,NBR,A,1984,1590,
HUN,ROADACCID,DEATH,NBR,A,1985,1756,
HUN,ROADACCID,DEATH,NBR,A,1986,1632,
HUN,ROADACCID,DEATH,NBR,A,1987,1573,
HUN,ROADACCID,DEATH,NBR,A,1988,1706,
HUN,ROADACCID,DEATH,NBR,A,1989,2162,
HUN,ROADACCID,DEATH,NBR,A,1990,2432,
HUN,ROADACCID,DEATH,NBR,A,1991,2120,
HUN,ROADACCID,DEATH,NBR,A,1992,2101,
HUN,ROADACCID,DEATH,NBR,A,1993,1678,
HUN,ROADACCID,DEATH,NBR,A,1994,1562,
HUN,ROADACCID,DEATH,NBR,A,1995,1589,
HUN,ROADACCID,DEATH,NBR,A,1996,1370,
HUN,ROADACCID,DEATH,NBR,A,1997,1391,
HUN,ROADACCID,DEATH,NBR,A,1998,1371,
HUN,ROADACCID,DEATH,NBR,A,1999,1306,
HUN,ROADACCID,DEATH,NBR,A,2000,1200,
HUN,ROADACCID,DEATH,NBR,A,2001,1239,
HUN,ROADACCID,DEATH,NBR,A,2002,1429,
HUN,ROADACCID,DEATH,NBR,A,2003,1326,
HUN,ROADACCID,DEATH,NBR,A,2004,1296,
HUN,ROADACCID,DEATH,NBR,A,2005,1278,
HUN,ROADACCID,DEATH,NBR,A,2006,1303,
HUN,ROADACCID,DEATH,NBR,A,2007,1232,
HUN,ROADACCID,DEATH,NBR,A,2008,996,
HUN,ROADACCID,DEATH,NBR,A,2009,822,
HUN,ROADACCID,DEATH,NBR,A,2010,740,
HUN,ROADACCID,DEATH,NBR,A,2011,638,
HUN,ROADACCID,DEATH,NBR,A,2012,605,
HUN,ROADACCID,DEATH,NBR,A,2013,591,
HUN,ROADACCID,DEATH,NBR,A,2014,626,
GEO,ROADACCID,DEATH,NBR,A,1970,795,
GEO,ROADACCID,DEATH,NBR,A,1971,745,
GEO,ROADACCID,DEATH,NBR,A,1972,672,
GEO,ROADACCID,DEATH,NBR,A,1973,719,
GEO,ROADACCID,DEATH,NBR,A,1974,700,
GEO,ROADACCID,DEATH,NBR,A,1975,845,
GEO,ROADACCID,DEATH,NBR,A,1976,817,
GEO,ROADACCID,DEATH,NBR,A,1977,925,
GEO,ROADACCID,DEATH,NBR,A,1978,969,
GEO,ROADACCID,DEATH,NBR,A,1979,985,
GEO,ROADACCID,DEATH,NBR,A,1980,902,
GEO,ROADACCID,DEATH,NBR,A,1981,897,
GEO,ROADACCID,DEATH,NBR,A,1982,894,
GEO,ROADACCID,DEATH,NBR,A,1983,822,
GEO,ROADACCID,DEATH,NBR,A,1984,719,
GEO,ROADACCID,DEATH,NBR,A,1985,660,
GEO,ROADACCID,DEATH,NBR,A,1986,645,
GEO,ROADACCID,DEATH,NBR,A,1987,622,
GEO,ROADACCID,DEATH,NBR,A,1988,658,
GEO,ROADACCID,DEATH,NBR,A,1989,797,
GEO,ROADACCID,DEATH,NBR,A,1990,1067,
GEO,ROADACCID,DEATH,NBR,A,1991,1145,
GEO,ROADACCID,DEATH,NBR,A,1992,883,
GEO,ROADACCID,DEATH,NBR,A,1993,542,
GEO,ROADACCID,DEATH,NBR,A,1994,494,
GEO,ROADACCID,DEATH,NBR,A,1995,450,
GEO,ROADACCID,DEATH,NBR,A,1996,437,
GEO,ROADACCID,DEATH,NBR,A,1997,449,
GEO,ROADACCID,DEATH,NBR,A,1998,466,
GEO,ROADACCID,DEATH,NBR,A,1999,539,
GEO,ROADACCID,DEATH,NBR,A,2000,500,
GEO,ROADACCID,DEATH,NBR,A,2001,558,
GEO,ROADACCID,DEATH,NBR,A,2002,515,
GEO,ROADACCID,DEATH,NBR,A,2003,572,
GEO,ROADACCID,DEATH,NBR,A,2004,637,
GEO,ROADACCID,DEATH,NBR,A,2005,581,
GEO,ROADACCID,DEATH,NBR,A,2006,675,
GEO,ROADACCID,DEATH,NBR,A,2007,737,
GEO,ROADACCID,DEATH,NBR,A,2008,867,
GEO,ROADACCID,DEATH,NBR,A,2009,738,
GEO,ROADACCID,DEATH,NBR,A,2010,685,
GEO,ROADACCID,DEATH,NBR,A,2011,526,
GEO,ROADACCID,DEATH,NBR,A,2012,605,
GEO,ROADACCID,DEATH,NBR,A,2013,514,
GEO,ROADACCID,DEATH,NBR,A,2014,511,
CSK,ROADACCID,DEATH,NBR,A,1970,2199,
CSK,ROADACCID,DEATH,NBR,A,1971,2240,
CSK,ROADACCID,DEATH,NBR,A,1972,2168,
CSK,ROADACCID,DEATH,NBR,A,1973,2073,
CSK,ROADACCID,DEATH,NBR,A,1974,1947,
CSK,ROADACCID,DEATH,NBR,A,1975,1946,
CSK,ROADACCID,DEATH,NBR,A,1976,2017,
CSK,ROADACCID,DEATH,NBR,A,1977,1886,
CSK,ROADACCID,DEATH,NBR,A,1978,1933,
CSK,ROADACCID,DEATH,NBR,A,1979,1626,
CSK,ROADACCID,DEATH,NBR,A,1980,1905,
CSK,ROADACCID,DEATH,NBR,A,1981,1815,
CSK,ROADACCID,DEATH,NBR,A,1982,1594,
CSK,ROADACCID,DEATH,NBR,A,1983,1605,
CSK,ROADACCID,DEATH,NBR,A,1984,1466,
CSK,ROADACCID,DEATH,NBR,A,1985,1536,
CSK,ROADACCID,DEATH,NBR,A,1986,1402,
CSK,ROADACCID,DEATH,NBR,A,1987,1393,
CSK,ROADACCID,DEATH,NBR,A,1988,1464,
CSK,ROADACCID,DEATH,NBR,A,1989,1606,
CSK,ROADACCID,DEATH,NBR,A,1990,2022,
CSK,ROADACCID,DEATH,NBR,A,1991,2000,
CSK,ROADACCID,DEATH,NBR,A,1992,2248,
CSK,ROADACCID,DEATH,NBR,A,1993,,M
CSK,ROADACCID,DEATH,NBR,A,1994,,M
CSK,ROADACCID,DEATH,NBR,A,1995,,M
CSK,ROADACCID,DEATH,NBR,A,1996,,M
CSK,ROADACCID,DEATH,NBR,A,1997,,M
CSK,ROADACCID,DEATH,NBR,A,1998,,M
CSK,ROADACCID,DEATH,NBR,A,1999,,M
CSK,ROADACCID,DEATH,NBR,A,2000,,M
CSK,ROADACCID,DEATH,NBR,A,2001,,M
CSK,ROADACCID,DEATH,NBR,A,2002,,M
CSK,ROADACCID,DEATH,NBR,A,2003,,M
CSK,ROADACCID,DEATH,NBR,A,2004,,M
CSK,ROADACCID,DEATH,NBR,A,2005,,M
CSK,ROADACCID,DEATH,NBR,A,2006,,M
CSK,ROADACCID,DEATH,NBR,A,2007,,M
CSK,ROADACCID,DEATH,NBR,A,2008,,M
CSK,ROADACCID,DEATH,NBR,A,2009,,M
CSK,ROADACCID,DEATH,NBR,A,2010,,M
CSK,ROADACCID,DEATH,NBR,A,2011,,M
CZE,ROADACCID,DEATH,NBR,A,1970,,M
CZE,ROADACCID,DEATH,NBR,A,1971,,M
CZE,ROADACCID,DEATH,NBR,A,1972,,M
CZE,ROADACCID,DEATH,NBR,A,1973,,M
CZE,ROADACCID,DEATH,NBR,A,1974,,M
CZE,ROADACCID,DEATH,NBR,A,1975,,M
CZE,ROADACCID,DEATH,NBR,A,1976,,M
CZE,ROADACCID,DEATH,NBR,A,1977,,M
CZE,ROADACCID,DEATH,NBR,A,1978,,M
CZE,ROADACCID,DEATH,NBR,A,1979,,M
CZE,ROADACCID,DEATH,NBR,A,1980,,M
CZE,ROADACCID,DEATH,NBR,A,1981,,M
CZE,ROADACCID,DEATH,NBR,A,1982,,M
CZE,ROADACCID,DEATH,NBR,A,1983,,M
CZE,ROADACCID,DEATH,NBR,A,1984,,M
CZE,ROADACCID,DEATH,NBR,A,1985,,M
CZE,ROADACCID,DEATH,NBR,A,1986,,M
CZE,ROADACCID,DEATH,NBR,A,1987,,M
CZE,ROADACCID,DEATH,NBR,A,1988,,M
CZE,ROADACCID,DEATH,NBR,A,1989,,M
CZE,ROADACCID,DEATH,NBR,A,1990,,M
CZE,ROADACCID,DEATH,NBR,A,1991,,M
CZE,ROADACCID,DEATH,NBR,A,1992,,M
CZE,ROADACCID,DEATH,NBR,A,1993,1524,
CZE,ROADACCID,DEATH,NBR,A,1994,1637,
CZE,ROADACCID,DEATH,NBR,A,1995,1588,
CZE,ROADACCID,DEATH,NBR,A,1996,1568,
CZE,ROADACCID,DEATH,NBR,A,1997,1597,
CZE,ROADACCID,DEATH,NBR,A,1998,1360,
CZE,ROADACCID,DEATH,NBR,A,1999,1455,
CZE,ROADACCID,DEATH,NBR,A,2000,1486,
CZE,ROADACCID,DEATH,NBR,A,2001,1334,
CZE,ROADACCID,DEATH,NBR,A,2002,1431,
CZE,ROADACCID,DEATH,NBR,A,2003,1447,
CZE,ROADACCID,DEATH,NBR,A,2004,1382,
CZE,ROADACCID,DEATH,NBR,A,2005,1286,
CZE,ROADACCID,DEATH,NBR,A,2006,1063,
CZE,ROADACCID,DEATH,NBR,A,2007,1222,
CZE,ROADACCID,DEATH,NBR,A,2008,1076,
CZE,ROADACCID,DEATH,NBR,A,2009,901,
CZE,ROADACCID,DEATH,NBR,A,2010,802,
CZE,ROADACCID,DEATH,NBR,A,2011,773,
CZE,ROADACCID,DEATH,NBR,A,2012,742,
CZE,ROADACCID,DEATH,NBR,A,2013,654,
CZE,ROADACCID,DEATH,NBR,A,2014,688,
MDA,ROADACCID,DEATH,NBR,A,1970,585,
MDA,ROADACCID,DEATH,NBR,A,1971,647,
MDA,ROADACCID,DEATH,NBR,A,1972,628,
MDA,ROADACCID,DEATH,NBR,A,1973,675,
MDA,ROADACCID,DEATH,NBR,A,1974,801,
MDA,ROADACCID,DEATH,NBR,A,1975,797,
MDA,ROADACCID,DEATH,NBR,A,1976,796,
MDA,ROADACCID,DEATH,NBR,A,1977,911,
MDA,ROADACCID,DEATH,NBR,A,1978,911,
MDA,ROADACCID,DEATH,NBR,A,1979,884,
MDA,ROADACCID,DEATH,NBR,A,1980,931,
MDA,ROADACCID,DEATH,NBR,A,1981,925,
MDA,ROADACCID,DEATH,NBR,A,1982,959,
MDA,ROADACCID,DEATH,NBR,A,1983,973,
MDA,ROADACCID,DEATH,NBR,A,1984,951,
MDA,ROADACCID,DEATH,NBR,A,1985,811,
MDA,ROADACCID,DEATH,NBR,A,1986,823,
MDA,ROADACCID,DEATH,NBR,A,1987,741,
MDA,ROADACCID,DEATH,NBR,A,1988,872,
MDA,ROADACCID,DEATH,NBR,A,1989,1147,
MDA,ROADACCID,DEATH,NBR,A,1990,1127,
MDA,ROADACCID,DEATH,NBR,A,1991,968,
MDA,ROADACCID,DEATH,NBR,A,1992,756,B
MDA,ROADACCID,DEATH,NBR,A,1993,422,
MDA,ROADACCID,DEATH,NBR,A,1994,540,
MDA,ROADACCID,DEATH,NBR,A,1995,544,
MDA,ROADACCID,DEATH,NBR,A,1996,554,
MDA,ROADACCID,DEATH,NBR,A,1997,569,
MDA,ROADACCID,DEATH,NBR,A,1998,492,
MDA,ROADACCID,DEATH,NBR,A,1999,396,
MDA,ROADACCID,DEATH,NBR,A,2000,406,
MDA,ROADACCID,DEATH,NBR,A,2001,419,
MDA,ROADACCID,DEATH,NBR,A,2002,412,
MDA,ROADACCID,DEATH,NBR,A,2003,425,
MDA,ROADACCID,DEATH,NBR,A,2004,405,
MDA,ROADACCID,DEATH,NBR,A,2005,391,
MDA,ROADACCID,DEATH,NBR,A,2006,382,
MDA,ROADACCID,DEATH,NBR,A,2007,464,
MDA,ROADACCID,DEATH,NBR,A,2008,500,
MDA,ROADACCID,DEATH,NBR,A,2009,487,
MDA,ROADACCID,DEATH,NBR,A,2010,452,
MDA,ROADACCID,DEATH,NBR,A,2011,433,
MDA,ROADACCID,DEATH,NBR,A,2012,442,
MDA,ROADACCID,DEATH,NBR,A,2013,295,
MDA,ROADACCID,DEATH,NBR,A,2014,324,
BIH,ROADACCID,DEATH,NBR,A,1970,,L
BIH,ROADACCID,DEATH,NBR,A,1971,,L
BIH,ROADACCID,DEATH,NBR,A,1972,,L
BIH,ROADACCID,DEATH,NBR,A,1973,,L
BIH,ROADACCID,DEATH,NBR,A,1974,,L
BIH,ROADACCID,DEATH,NBR,A,1975,,L
BIH,ROADACCID,DEATH,NBR,A,1976,,L
BIH,ROADACCID,DEATH,NBR,A,1977,,L
BIH,ROADACCID,DEATH,NBR,A,1978,,L
BIH,ROADACCID,DEATH,NBR,A,1979,,L
BIH,ROADACCID,DEATH,NBR,A,1980,,L
BIH,ROADACCID,DEATH,NBR,A,1981,,L
BIH,ROADACCID,DEATH,NBR,A,1982,,L
BIH,ROADACCID,DEATH,NBR,A,1983,,L
BIH,ROADACCID,DEATH,NBR,A,1984,,L
BIH,ROADACCID,DEATH,NBR,A,1985,,L
BIH,ROADACCID,DEATH,NBR,A,1986,,L
BIH,ROADACCID,DEATH,NBR,A,1987,,L
BIH,ROADACCID,DEATH,NBR,A,1988,,L
BIH,ROADACCID,DEATH,NBR,A,1989,592,
BIH,ROADACCID,DEATH,NBR,A,1990,,L
BIH,ROADACCID,DEATH,NBR,A,1991,,L
BIH,ROADACCID,DEATH,NBR,A,1992,,L
BIH,ROADACCID,DEATH,NBR,A,1993,,L
BIH,ROADACCID,DEATH,NBR,A,1994,149,
BIH,ROADACCID,DEATH,NBR,A,1995,215,
BIH,ROADACCID,DEATH,NBR,A,1996,199,
BIH,ROADACCID,DEATH,NBR,A,1997,230,
BIH,ROADACCID,DEATH,NBR,A,1998,,L
BIH,ROADACCID,DEATH,NBR,A,1999,,L
BIH,ROADACCID,DEATH,NBR,A,2000,,L
BIH,ROADACCID,DEATH,NBR,A,2001,,L
BIH,ROADACCID,DEATH,NBR,A,2002,,L
BIH,ROADACCID,DEATH,NBR,A,2003,460,
BIH,ROADACCID,DEATH,NBR,A,2004,437,
BIH,ROADACCID,DEATH,NBR,A,2005,384,
BIH,ROADACCID,DEATH,NBR,A,2006,403,
BIH,ROADACCID,DEATH,NBR,A,2007,430,
BIH,ROADACCID,DEATH,NBR,A,2008,434,
BIH,ROADACCID,DEATH,NBR,A,2009,382,
BIH,ROADACCID,DEATH,NBR,A,2010,,L
BIH,ROADACCID,DEATH,NBR,A,2011,356,
BIH,ROADACCID,DEATH,NBR,A,2012,303,
BIH,ROADACCID,DEATH,NBR,A,2013,334,
AUS,ROADACCID,DEATH,NBR,A,1970,3798,
AUS,ROADACCID,DEATH,NBR,A,1971,3590,
AUS,ROADACCID,DEATH,NBR,A,1972,3422,
AUS,ROADACCID,DEATH,NBR,A,1973,3679,
AUS,ROADACCID,DEATH,NBR,A,1974,3572,
AUS,ROADACCID,DEATH,NBR,A,1975,3694,
AUS,ROADACCID,DEATH,NBR,A,1976,3583,
AUS,ROADACCID,DEATH,NBR,A,1977,3578,
AUS,ROADACCID,DEATH,NBR,A,1978,3705,
AUS,ROADACCID,DEATH,NBR,A,1979,3508,
AUS,ROADACCID,DEATH,NBR,A,1980,3272,
AUS,ROADACCID,DEATH,NBR,A,1981,3321,
AUS,ROADACCID,DEATH,NBR,A,1982,3252,
AUS,ROADACCID,DEATH,NBR,A,1983,2755,
AUS,ROADACCID,DEATH,NBR,A,1984,2822,
AUS,ROADACCID,DEATH,NBR,A,1985,2941,
AUS,ROADACCID,DEATH,NBR,A,1986,2888,
AUS,ROADACCID,DEATH,NBR,A,1987,2772,
AUS,ROADACCID,DEATH,NBR,A,1988,2887,
AUS,ROADACCID,DEATH,NBR,A,1989,2800,
AUS,ROADACCID,DEATH,NBR,A,1990,2331,
AUS,ROADACCID,DEATH,NBR,A,1991,2113,
AUS,ROADACCID,DEATH,NBR,A,1992,1974,
AUS,ROADACCID,DEATH,NBR,A,1993,1953,
AUS,ROADACCID,DEATH,NBR,A,1994,1928,
AUS,ROADACCID,DEATH,NBR,A,1995,2017,
AUS,ROADACCID,DEATH,NBR,A,1996,1970,
AUS,ROADACCID,DEATH,NBR,A,1997,1767,
AUS,ROADACCID,DEATH,NBR,A,1998,1755,
AUS,ROADACCID,DEATH,NBR,A,1999,1764,
AUS,ROADACCID,DEATH,NBR,A,2000,1817,
AUS,ROADACCID,DEATH,NBR,A,2001,1737,
AUS,ROADACCID,DEATH,NBR,A,2002,1715,
AUS,ROADACCID,DEATH,NBR,A,2003,1621,
AUS,ROADACCID,DEATH,NBR,A,2004,1583,
AUS,ROADACCID,DEATH,NBR,A,2005,1627,
AUS,ROADACCID,DEATH,NBR,A,2006,1598,
AUS,ROADACCID,DEATH,NBR,A,2007,1603,
AUS,ROADACCID,DEATH,NBR,A,2008,1437,
AUS,ROADACCID,DEATH,NBR,A,2009,1491,
AUS,ROADACCID,DEATH,NBR,A,2010,1353,
AUS,ROADACCID,DEATH,NBR,A,2011,1277,
AUS,ROADACCID,DEATH,NBR,A,2012,1300,
AUS,ROADACCID,DEATH,NBR,A,2013,1187,
AUS,ROADACCID,DEATH,NBR,A,2014,1153,
AZE,ROADACCID,DEATH,NBR,A,1970,,L
AZE,ROADACCID,DEATH,NBR,A,1971,,L
AZE,ROADACCID,DEATH,NBR,A,1972,,L
AZE,ROADACCID,DEATH,NBR,A,1973,,L
AZE,ROADACCID,DEATH,NBR,A,1974,,L
AZE,ROADACCID,DEATH,NBR,A,1975,,L
AZE,ROADACCID,DEATH,NBR,A,1976,,L
AZE,ROADACCID,DEATH,NBR,A,1977,,L
AZE,ROADACCID,DEATH,NBR,A,1978,,L
AZE,ROADACCID,DEATH,NBR,A,1979,,L
AZE,ROADACCID,DEATH,NBR,A,1980,,L
AZE,ROADACCID,DEATH,NBR,A,1981,,L
AZE,ROADACCID,DEATH,NBR,A,1982,,L
AZE,ROADACCID,DEATH,NBR,A,1983,,L
AZE,ROADACCID,DEATH,NBR,A,1984,,L
AZE,ROADACCID,DEATH,NBR,A,1985,,L
AZE,ROADACCID,DEATH,NBR,A,1986,,L
AZE,ROADACCID,DEATH,NBR,A,1987,,L
AZE,ROADACCID,DEATH,NBR,A,1988,,L
AZE,ROADACCID,DEATH,NBR,A,1989,,L
AZE,ROADACCID,DEATH,NBR,A,1990,,L
AZE,ROADACCID,DEATH,NBR,A,1991,1281,
AZE,ROADACCID,DEATH,NBR,A,1992,1265,
AZE,ROADACCID,DEATH,NBR,A,1993,1152,
AZE,ROADACCID,DEATH,NBR,A,1994,1107,
AZE,ROADACCID,DEATH,NBR,A,1995,990,
AZE,ROADACCID,DEATH,NBR,A,1996,763,
AZE,ROADACCID,DEATH,NBR,A,1997,605,
AZE,ROADACCID,DEATH,NBR,A,1998,594,
AZE,ROADACCID,DEATH,NBR,A,1999,554,
AZE,ROADACCID,DEATH,NBR,A,2000,596,
AZE,ROADACCID,DEATH,NBR,A,2001,559,
AZE,ROADACCID,DEATH,NBR,A,2002,642,
AZE,ROADACCID,DEATH,NBR,A,2003,724,
AZE,ROADACCID,DEATH,NBR,A,2004,811,
AZE,ROADACCID,DEATH,NBR,A,2005,1065,
AZE,ROADACCID,DEATH,NBR,A,2006,1027,
AZE,ROADACCID,DEATH,NBR,A,2007,1107,
AZE,ROADACCID,DEATH,NBR,A,2008,1052,
AZE,ROADACCID,DEATH,NBR,A,2009,930,
AZE,ROADACCID,DEATH,NBR,A,2010,925,
AZE,ROADACCID,DEATH,NBR,A,2011,1016,
AZE,ROADACCID,DEATH,NBR,A,2012,1168,
AZE,ROADACCID,DEATH,NBR,A,2013,1164,
BLR,ROADACCID,DEATH,NBR,A,1990,2211,E
BLR,ROADACCID,DEATH,NBR,A,1991,2332,
BLR,ROADACCID,DEATH,NBR,A,1992,2151,
BLR,ROADACCID,DEATH,NBR,A,1993,1738,
BLR,ROADACCID,DEATH,NBR,A,1994,1670,
